# z  linear(z)  quadratic(z)  cos(z)  linear'(z)  quadratic'(z)  -sin(z)  integ_linear(z)  integ_quadratic(z)  sin(z)
4.32 -0.370221 -0.408674 -0.382397 0.885696 0.979158 0.923998 -0.904788 -0.93069 -0.923998
4.34 -0.352507 -0.388824 -0.363842 0.885696 1.00586 0.931461 -0.912015 -0.938666 -0.931461
4.36 -0.334793 -0.36844 -0.345141 0.885696 1.03257 0.938551 -0.918888 -0.94624 -0.938551
4.38 -0.317079 -0.347521 -0.326302 0.885696 1.05927 0.945266 -0.925407 -0.9534 -0.945266
4.4 -0.299365 -0.326069 -0.307333 0.885696 1.08597 0.951602 -0.931571 -0.960137 -0.951602
4.42 -0.281651 -0.304083 -0.288241 0.885696 1.11268 0.957558 -0.937382 -0.966439 -0.957558
4.44 -0.263938 -0.281562 -0.269033 0.885696 1.13938 0.963131 -0.942838 -0.972297 -0.963131
4.46 -0.246224 -0.258507 -0.249718 0.885696 1.16608 0.968319 -0.947939 -0.977698 -0.968319
4.48 -0.22851 -0.234919 -0.230303 0.885696 1.19279 0.973119 -0.952686 -0.982633 -0.973119
4.5 -0.210796 -0.210796 -0.210796 0.885696 1.21949 0.97753 -0.95708 -0.987091 -0.97753
4.52 -0.191017 -0.18659 -0.191204 0.988916 1.20105 0.98155 -0.961098 -0.991065 -0.98155
4.54 -0.171239 -0.162754 -0.171536 0.988916 1.1826 0.985178 -0.96472 -0.994557 -0.985178
4.56 -0.151461 -0.139286 -0.1518 0.988916 1.16415 0.988411 -0.967947 -0.997577 -0.988411
4.58 -0.131683 -0.116188 -0.132003 0.988916 1.14571 0.991249 -0.970779 -1.00013 -0.991249
4.6 -0.111904 -0.0934582 -0.112153 0.988916 1.12726 0.993691 -0.973215 -1.00223 -0.993691
4.62 -0.0921259 -0.0710974 -0.0922576 0.988916 1.10882 0.995735 -0.975255 -1.00387 -0.995735
4.64 -0.0723476 -0.0491056 -0.0723258 0.988916 1.09037 0.997381 -0.9769 -1.00507 -0.997381
4.66 -0.0525692 -0.0274827 -0.052365 0.988916 1.07192 0.998628 -0.978149 -1.00584 -0.998628
4.68 -0.0327909 -0.00622866 -0.0323833 0.988916 1.05348 0.999476 -0.979002 -1.00618 -0.999476
4.7 -0.0130126 0.0146564 -0.0123887 0.988916 1.03503 0.999923 -0.97946 -1.00609 -0.999923
4.72 0.00676571 0.0351726 0.00761095 0.988916 1.01658 0.999971 -0.979523 -1.00559 -0.999971
4.74 0.026544 0.0553198 0.0276075 0.988916 0.998139 0.999619 -0.97919 -1.00469 -0.999619
4.76 0.0463224 0.0750981 0.047593 0.988916 0.979693 0.998867 -0.978461 -1.00338 -0.998867
4.78 0.0661007 0.0945075 0.0675595 0.988916 0.961247 0.997715 -0.977337 -1.00168 -0.997715
4.8 0.085879 0.113548 0.087499 0.988916 0.942801 0.996165 -0.975817 -0.999603 -0.996165
4.82 0.105657 0.13222 0.107403 0.988916 0.924355 0.994216 -0.973902 -0.997145 -0.994216
4.84 0.125436 0.150522 0.127265 0.988916 0.905909 0.991869 -0.971591 -0.994317 -0.991869
4.86 0.145214 0.168456 0.147076 0.988916 0.887463 0.989125 -0.968884 -0.991127 -0.989125
4.88 0.164992 0.186021 0.166827 0.988916 0.869017 0.985986 -0.965782 -0.987581 -0.985986
4.9 0.184771 0.203217 0.186512 0.988916 0.850571 0.982453 -0.962285 -0.983688 -0.982453
4.92 0.204549 0.220044 0.206123 0.988916 0.832125 0.978526 -0.958391 -0.979455 -0.978526
4.94 0.224327 0.236502 0.225651 0.988916 0.813679 0.974208 -0.954103 -0.974889 -0.974208
4.96 0.244106 0.252591 0.245089 0.988916 0.795233 0.969501 -0.949418 -0.969997 -0.969501
4.98 0.263884 0.268311 0.264428 0.988916 0.776787 0.964405 -0.944338 -0.964788 -0.964405
5 0.283662 0.283662 0.283662 0.988916 0.758341 0.958924 -0.938863 -0.959267 -0.958924
5.02 0.300662 0.298902 0.302783 0.850015 0.765675 0.95306 -0.93302 -0.953442 -0.95306
5.04 0.317663 0.314289 0.321782 0.850015 0.773009 0.946814 -0.926836 -0.94731 -0.946814
